Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
554	828	853	873
555	333	358	378
556	515	539	561
557	618	642	664
558	805	831	851
559	684	707	729
560	821	846	866
561	149	173	194
562	384	408	429
563	850	876	896
564	123	147	169
565	70	94	116
566	1005	1030	1050
567	376	402	422
568	867	893	913
569	450	473	495
570	476	501	521
571	447	473	493
572	783	807	829
573	187	213	235
574	571	595	617
575	314	340	360
576	215	238	260
577	455	481	501
578	432	458	478
579	775	799	821
580	663	688	708
581	403	428	448
582	277	303	323
583	768	793	813
584	134	160	180
585	998	1022	1044
586	350	375	395
587	688	713	733
588	984	1010	1030
589	463	488	508
590	18	42	64
591	927	953	973
592	326	351	371
593	150	175	195
594	87	111	133
595	623	647	669
596	550	576	596
597	481	505	527
598	972	998	1018
599	327	351	373
600	301	327	347
601	957	981	1003
602	461	486	506
603	421	445	467
604	275	300	320
605	824	848	869
606	584	608	630
607	610	634	656
608	583	607	628
609	661	686	706
610	411	437	459
611	424	450	470
612	472	498	518
613	485	509	529
614	811	836	856
615	290	316	336
616	801	827	847
617	123	148	168
618	232	255	277
619	318	342	363
620	526	550	570
621	640	664	686
622	189	213	235
623	93	119	139
624	659	683	705
625	884	910	930
626	344	370	390
627	570	595	615
628	509	533	555
629	389	413	435
630	119	143	165
631	644	668	689
632	969	993	1015
633	500	526	549
634	862	887	909
635	658	683	703
636	781	806	828
637	511	536	556
638	378	404	424
639	470	493	515
640	466	490	512
641	498	524	544
642	331	357	377
643	762	788	808
644	367	392	412
645	434	458	480
646	584	608	630
647	528	554	574
648	213	237	259
649	540	565	585
650	1016	1040	6
651	1024	7	29
652	899	923	945
653	29	55	75
654	822	848	868
655	533	559	579
656	8	34	54
657	556	579	601
658	903	928	948
659	358	383	403
660	149	175	195
661	781	805	827
662	277	301	322
663	734	758	780
664	607	630	656
665	53	79	101
666	56	79	105
667	890	914	936
668	155	181	206
669	40	66	86
670	771	797	817
671	24	50	70
672	58	87	109
673	153	179	199
674	467	490	512
675	554	580	600
676	963	993	1013
677	725	755	775
678	819	844	864
679	995	1019	1041
680	97	123	143
681	449	471	491
682	458	484	504
683	531	555	577
684	445	471	491
685	119	145	165
686	11	36	56
687	942	968	988
688	118	143	163
689	872	897	917
690	213	239	259
691	644	669	689
692	680	706	727
693	973	998	1018
694	355	381	403
695	129	153	175
696	849	874	894
697	474	499	519
698	993	1018	1038
699	506	531	551
700	325	349	371
701	1026	11	31
702	200	226	246
703	730	754	776
704	383	409	429
705	775	799	821
706	665	691	711
707	489	513	535
708	213	238	258
709	1021	4	24
710	659	685	705
711	87	113	133
712	1013	1039	5
713	303	329	349
714	924	947	969
715	907	932	952
716	1006	1030	1052
717	318	342	364
718	55	81	101
719	70	96	116
720	485	511	531
721	766	790	812
722	105	130	150
723	131	156	176
724	569	595	615
725	462	488	508
726	316	342	362
727	700	726	746
728	543	567	588
729	963	988	1008
730	429	454	474
731	121	145	167
732	402	428	448
733	144	169	191
734	337	362	382
735	475	501	521
736	875	899	921
737	148	173	193
738	515	540	560
739	680	705	725
740	344	370	390
741	457	482	502
742	261	287	307
743	457	482	502
744	304	328	350
745	329	355	375
746	809	835	855
747	885	908	930
748	706	729	751
749	706	732	752
750	686	711	731
751	306	332	352
752	29	55	75
753	309	332	354
754	545	570	590
755	183	209	229
756	832	855	877
757	888	914	936
758	638	664	684
759	871	896	916
760	758	784	804
761	781	804	826
762	577	602	622
763	40	66	86
764	949	973	995
765	104	130	150
766	502	527	547
767	912	938	958
768	932	955	977
