Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
892	5	27	49
893	25	45	3
894	25	45	3
895	45	3	25
896	6	28	50
897	5	25	47
898	49	7	29
899	8	28	50
900	3	25	46
901	51	9	31
902	6	28	50
903	48	6	26
904	3	24	44
905	9	31	51
906	48	6	28
907	30	50	8
908	53	11	31
909	45	3	25
910	47	5	25
911	26	48	5
912	5	27	49
913	9	31	53
914	52	9	30
915	7	29	50
916	54	13	34
917	29	49	7
918	5	27	49
919	3	24	46
920	47	5	25
921	27	49	7
922	7	28	50
923	5	27	47
924	50	7	28
925	48	6	26
926	45	3	25
927	9	29	51
928	8	28	50
929	50	8	30
930	31	51	9
931	10	30	52
932	6	26	48
933	9	30	50
934	10	30	52
935	8	30	52
936	52	8	30
937	25	45	3
938	49	7	29
939	7	29	51
940	27	47	5
941	25	45	3
942	51	9	31
943	53	11	31
944	3	25	47
945	25	45	3
946	7	27	49
947	27	49	7
948	31	52	11
949	47	3	25
950	7	29	51
951	5	27	49
952	7	28	48
953	3	25	46
954	28	48	7
955	48	4	26
956	5	25	47
957	50	9	30
958	10	30	52
959	45	3	25
960	47	5	25
961	8	28	50
962	49	7	27
963	27	47	5
964	8	30	52
965	9	29	51
966	47	5	25
967	47	5	27
968	7	29	49
969	52	10	32
970	51	9	31
971	49	7	27
972	47	3	25
973	5	27	47
974	5	27	47
975	49	7	29
976	10	30	52
977	52	8	30
978	6	28	50
979	48	6	28
980	9	29	50
981	29	51	7
982	48	6	28
983	52	11	31
984	7	29	51
985	3	25	47
986	30	52	10
987	29	49	7
988	7	29	49
989	47	3	25
990	29	51	9
991	30	50	9
992	8	28	50
993	28	48	6
994	30	50	8
995	9	29	50
996	29	50	9
997	31	51	9
998	27	49	7
999	51	9	31

