Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
708	91	115	5
709	92	118	7
710	89	113	3
711	44	70	90
712	80	106	126
713	65	90	110
714	63	89	109
715	70	96	116
716	14	40	60
717	18	42	64
718	56	82	102
719	71	94	116
720	28	52	73
721	99	9	29
722	9	34	54
723	103	10	32
724	42	66	86
725	76	101	121
726	72	98	118
727	71	97	117
728	84	107	129
729	63	89	109
730	50	75	95
731	50	73	95
732	57	83	103
733	46	70	92
734	49	75	95
735	101	11	31
736	56	82	102
737	16	42	62
738	83	109	129
739	16	42	62
740	91	116	5
741	12	38	58
742	65	88	110
743	48	71	93
744	67	92	112
745	65	91	111
746	82	106	127
747	12	36	58
748	7	31	51
749	61	87	107
750	15	38	58
751	6	30	50
752	5	30	50
753	8	32	54
754	46	72	92
755	99	9	29
756	26	51	71
757	80	106	126
758	16	40	135
759	46	72	92
760	7	33	53
761	63	87	107
762	35	60	80
763	73	98	118
764	85	111	131
765	51	77	97
766	20	44	66
767	41	66	86
768	35	61	81
769	61	87	107
770	74	100	120
771	37	60	82
772	50	76	96
773	84	109	129
774	68	94	114
775	89	114	5
776	94	118	9
777	79	103	125
778	95	5	25
779	48	74	100
780	90	114	5
781	92	118	8
782	94	118	9
783	80	105	125
784	95	3	30
785	37	62	82
786	71	95	116
787	31	56	76
788	42	68	88
789	70	94	114
790	69	94	114
791	35	61	81
792	72	96	118
793	54	80	100
794	16	42	62
795	46	72	92
796	89	113	133
797	58	83	103
798	46	70	90
799	44	69	89
800	63	87	109
801	14	40	60
802	82	107	127
803	37	63	83
804	65	90	110
805	9	34	54
806	41	66	86
807	76	102	122
808	16	42	62
809	74	100	120
810	84	109	129
811	93	116	7
812	92	118	9
813	83	109	129
814	95	3	25
815	13	37	58
816	68	92	114
817	87	113	133
818	44	68	88
819	5	30	50
820	65	88	110
821	101	8	28
822	48	74	94
823	75	100	120
824	85	111	131
825	44	68	90
826	52	76	98
827	98	5	27
828	3	28	48
829	46	70	92
830	51	81	103
831	60	85	105
832	16	42	62
833	92	118	6
834	27	53	73
835	11	36	56
836	59	83	103
837	80	105	125
838	53	79	99
839	59	85	105
840	29	53	75
841	97	7	27
842	95	3	25
843	66	90	112
844	41	65	86
845	59	83	103
846	70	94	116
847	101	8	30
848	46	72	92
849	50	76	96
850	90	116	4
851	61	85	107
852	103	11	32
853	61	84	106
854	69	93	115
855	25	51	71
856	87	113	133
857	73	96	118
858	95	3	25
859	37	63	83
860	37	60	82
861	18	44	64
862	46	72	92
863	14	40	60
864	43	68	90
865	18	42	63
866	16	40	62
867	37	63	83
868	44	69	89
869	33	59	79
870	101	9	31
871	42	68	88
872	18	42	64
873	80	105	125
874	74	100	120
875	43	66	88
876	17	42	62
877	5	30	50
878	35	60	80
879	28	51	73
880	71	97	117
881	48	71	93
882	26	51	71
883	25	49	71
884	98	5	27
885	82	105	127
886	56	80	102
887	75	100	120
888	38	64	84
889	7	33	53
890	22	46	68
891	102	9	31
892	65	91	111
893	94	118	9
894	12	36	58
895	48	73	93
896	40	66	86
897	42	68	88
898	95	3	23
899	80	103	123
900	60	83	105
901	31	57	77
902	21	45	67
903	69	92	114
904	88	111	131
905	31	56	76
906	44	70	90
907	32	57	77
908	22	46	68
909	54	79	99
910	77	102	122
911	24	50	70
912	98	5	27
913	18	42	64
914	26	51	71
915	40	66	86
916	54	79	99
917	67	93	113
918	71	97	117
919	71	94	116
920	62	87	107
921	80	104	129
922	76	102	122
923	78	101	123
924	59	89	111
925	59	83	105
926	90	116	4
927	92	118	7
928	94	118	9
929	66	90	112
930	85	111	131
931	37	63	83
932	65	91	111
933	55	81	101
934	58	83	103
935	5	29	50
936	5	29	51
937	40	64	86
938	60	85	105
939	78	102	122
940	98	5	25
941	50	76	96
942	46	71	91
943	96	3	23
944	82	107	127
945	35	58	80
946	101	8	28
947	42	66	88
948	65	90	110
949	8	32	54
950	7	32	52
951	67	91	113
952	43	66	88
953	86	109	131
954	65	90	110
955	48	72	94
